,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
3,2390321,https://www.airbnb.com/rooms/2390321,20241109184835,2024-11-09,city scrape,2 Blocks 2 Main,"This space is designed for 1-2 people that want to sleep in the same bed.  More details are below in the space section.<br /><br />According to our local laws, I need to post my registration number and there is no place on this website to post it so decided to put it here - Registration #STR22-00083","I love that it is 2 blocks from the heart of downtown Bozeman where you will find a wonderful assortment of shops, restaurants, the city library, walking trails, and a park. A walking trail start just 1 block south that will take you by fields, wooded areas, creeks, and  a duck pond.  It is four blocks to the city library and one block to Bogert Park and the outdoor city pool.  Being a native of this area, I will be able to help you match your preferences regarding restaurants, activities, etc. to the huge array of options.  <br /><br />Bozeman and the surrounding area has so much to offer:  1.5 hours to Yellowstone Park, unending hiking and cross country ski trails, two top notch downhill ski areas with a total of 24 lifts and 222 named runs, world class fishing, golfing, everything from amazing sushi to one of the best steaks you will ever eat, great little shops with unique items, amazing chocolates and caramels made locally, the best shoe store ever, majestic mountains all around a",https://a0.muscache.com/pictures/31808170/767c0192_original.jpg,7849959,https://www.airbnb.com/users/show/7849959,Irene,2013-07-31,"Bozeman, MT","I have lived in or near Bozeman all of my life.  I purchased this home several years ago and raised my three children here and now that they are off on their own adventures, I would love to share this home with you and all this amazing area has to offer.",within an hour,100%,92%,t,https://a0.muscache.com/im/users/7849959/profile_pic/1392311847/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/7849959/profile_pic/1392311847/original.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,f,Neighborhood highlights,Bozeman,,45.67434,-111.0333,Entire rental unit,Entire home/apt,2,1.0,1 bath,1,1.0,"[""Refrigerator"", ""Portable fans"", ""Hangers"", ""Carbon monoxide alarm"", ""Microwave"", ""Wifi"", ""Coffee maker"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Keypad"", ""Hair dryer"", ""Bed linens"", ""Bathtub"", ""Essentials"", ""Self check-in"", ""Dishes and silverware"", ""Heating"", ""Varies body soap"", ""Iron"", ""Coffee"", ""Hot water"", ""Free street parking"", ""Smoke alarm"", ""Air conditioning"", ""Shampoo"", ""TV with standard cable"", ""Ethernet connection""]",$175.00,3,3,3,3,3,3,3.0,3.0,,t,9,39,69,249,2024-11-09,49,6,0,2016-05-09,2024-09-02,4.96,5.0,5.0,5.0,4.98,5.0,4.73,STR22-00083,t,2,2,0,0,0.47
10,4778710,https://www.airbnb.com/rooms/4778710,20241109184835,2024-11-09,city scrape,Bozeman House with Hottub,"Beautifully furnished 3 Bedroom home with custom made Montana furniture and hot tub.   Open floor plan ~ covered porches, view of the Bridgers.   Located  close to world class skiing &  fishing .  Close to shopping, schools & restuarants.  Home renting as a short term 6 month rental. Consideration given to two month rental . Great house for professionals or small family building or relocating to Bozeman.","This is a very family friendly neighborhood with walking trails throughout. Harvest Creek  is  known for it's convenient location,  pristine  houses,  manicured lawns, trees & walking trails.",https://a0.muscache.com/pictures/60005791/71490f69_original.jpg,14101343,https://www.airbnb.com/users/show/14101343,Steven And Eleanor,2014-04-09,"Bozeman, MT","My husband and I are an active retired couple that enjoy traveling & doing primarily ""staycations"".  We  decided two years into retirement instead of staying in (Hidden by Airbnb) ’s to turn houses we purchased in Bozeman, Montana (our favorite place)  and Columbia , Missouri into (Hidden by Airbnb) ’s.  We love the lifestyle of living close to our families who are in different states and then renting our houses to people that need short term rentals.  We set our houses up with our guests in mind which simplifies and streamlines our living as well. We have met absolutely wonderful people along this 10 year journey and love the lifestyle. We enjoy hiking, biking, kayaking, fishing, watercolor and most of all hanging out with family.  We try to live by the motto  ""treat others as you would have them treat you"" and generally all else falls in place.",,,0%,f,https://a0.muscache.com/im/users/14101343/profile_pic/1418152053/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/14101343/profile_pic/1418152053/original.jpg?aki_policy=profile_x_medium,,2,9,"['email', 'phone']",t,t,Neighborhood highlights,Bozeman,,45.68605,-111.07734,Entire home,Entire home/apt,3,2.0,2 baths,4,3.0,"[""Hangers"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Wifi"", ""Mountain view"", ""Indoor fireplace"", ""TV with standard cable"", ""First aid kit"", ""Pets allowed"", ""Fire extinguisher"", ""Hair dryer"", ""Dryer"", ""Essentials"", ""Private hot tub"", ""Heating"", ""Washer"", ""Iron"", ""Smoke alarm"", ""Kitchen""]",$140.00,30,180,30,30,180,180,30.0,180.0,,t,8,38,62,62,2024-11-09,0,0,0,,,,,,,,,,,f,1,1,0,0,
36,11337733,https://www.airbnb.com/rooms/11337733,20241109184835,2024-11-09,city scrape,Walk to Downtown! Historic Studio with Sun,"This charming second story studio sanctuary is full of light and warmth with picture windows, a breakfast nook, a lovely patio and outdoor grill just below. Comfortable queen bed ( as well as a good full airbed with a set of sheets if needed additionally). Great location! with easy access to downtown within a few blocks and immediate access to roads leading to wilderness, skiing and hiking. Treehouse in summer, cozy nest in winter. <br /><br />License # 312682","A friendly neighborhood on a quiet street lined with mature trees just 5 blocks from historic downtown Bozeman. You will get a true taste of local life in our quaint and lively Big Sky town. The neighbors are friendly, down to earth, cooperative, and caring. We are just 5 minutes away from the  Community Food Co-op in operation since 1971, a variety of coffee shops, bakeries, and restaurants,  just another few blocks towards downtown. We also have easy access to outbound highways which will quickly take you to our beautiful mountains and rivers where you will find some of the world's best hiking, fly fishing and skiing in every direction. For the art enthusiast, we have a well established art community, the hub of which is located within easy walking distance at the Emerson Cultural Center. The Montana State University campus is a few minutes drive and a twenty minute walk south.<br /><br />The larger neighborhood: The studio is centrally located to major ski areas such as Bridger Bowl",https://a0.muscache.com/pictures/539459e6-7a07-485b-9a9a-c39a31cf5bb2.jpg,59339691,https://www.airbnb.com/users/show/59339691,Allison,2016-02-18,"Bozeman, MT","Hello, I am a fourth generation Montana Native, born in Bozeman. I am a visual artist/photographer and wilderness lover. My father was a fishing guide and renowned naturalist in this area so I can show you some out of the way places that won't appear in your guidebooks, as well as some of the tucked away local hangs. Montana is known for her friendly folks. We fit the bill here at the Colburn House.  Let us host you Montana style! Lively, friendly and spacious. ",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/17962dfa-f291-450d-afcf-758614ce47a5.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/17962dfa-f291-450d-afcf-758614ce47a5.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Bozeman,,45.68124,-111.0448,Entire guest suite,Entire home/apt,2,1.0,1 bath,1,1.0,"[""Refrigerator"", ""Luggage dropoff allowed"", ""Private entrance"", ""Hangers"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Microwave"", ""Wifi"", ""Indoor fireplace"", ""Coffee maker"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Hair dryer"", ""Bed linens"", ""Shared patio or balcony"", ""Essentials"", ""Dishes and silverware"", ""Dedicated workspace"", ""Heating"", ""Backyard"", ""Iron"", ""Hot water"", ""Free street parking"", ""Smoke alarm"", ""Air conditioning"", ""Shampoo""]",$132.00,2,14,2,2,1125,1125,2.0,1125.0,,t,27,39,69,325,2024-11-09,492,52,3,2016-03-26,2024-11-01,4.91,4.95,4.92,4.97,4.98,4.98,4.92,STR23-00025,f,1,1,0,0,4.68
47,15284883,https://www.airbnb.com/rooms/15284883,20241109184835,2024-11-09,city scrape,Green Guest Loft in the Heart of Downtown Bozeman,"Well appointed, fully furnished 1 bedroom, 1 bath loft in a quiet neighborhood location only 5 blocks to downtown Bozeman.  The loft has panoramic mountain views, features radiant in floor heating, granite countertops, handmade tiles, and glass block.  Great for solo adventurers, couples or a family with 1-2 small kids.",,https://a0.muscache.com/pictures/hosting/Hosting-15284883/original/371bbeaa-c836-4190-9755-f0f3db6be6ec.jpeg,97282807,https://www.airbnb.com/users/show/97282807,Natalie,2016-09-29,"Bozeman, MT",,within a few hours,100%,50%,f,https://a0.muscache.com/im/pictures/user/0b861278-e054-48a4-bd72-5d969f878b91.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0b861278-e054-48a4-bd72-5d969f878b91.jpg?aki_policy=profile_x_medium,,1,3,"['email', 'phone']",t,t,,Bozeman,,45.68432,-111.03863,Entire loft,Entire home/apt,3,1.0,1 bath,1,2.0,"[""Refrigerator"", ""Hangers"", ""Carbon monoxide alarm"", ""Wifi"", ""Body soap"", ""TV"", ""Coffee maker"", ""Long term stays allowed"", ""Cleaning products"", ""Extra pillows and blankets"", ""Keypad"", ""Hair dryer"", ""Bed linens"", ""Bluetooth sound system"", ""Dryer"", ""Essentials"", ""Self check-in"", ""Dishes and silverware"", ""Heating"", ""Washer"", ""Board games"", ""AC - split type ductless system"", ""Hot water"", ""Conditioner"", ""Free street parking"", ""Smoke alarm"", ""Cooking basics"", ""Shampoo"", ""Kitchen""]",$188.00,3,60,3,3,60,60,3.0,60.0,,t,5,19,49,49,2024-11-09,76,5,1,2016-10-23,2024-10-14,4.89,4.96,4.97,4.86,4.89,4.92,4.75,STR23-00189,f,1,1,0,0,0.78
56,16881888,https://www.airbnb.com/rooms/16881888,20241109184835,2024-11-09,city scrape,2 Blocks 2 Main with a View,"I have lived in or near Bozeman all of my life.  I purchased this 100 year old home 30 years ago and raised my three children here and now that they are off on their own adventures, I would love to share this home with you and all this amazing area has to offer.  <br /><br />According to our local laws, I need to post my registration number and there is no place on this website to post it so decided to put it here - Registration #STR22-00083",Wonderful neighborhood with many historic homes that are well maintained.  Walking trail starts a block from this apartment and goes through wooded areas with a creek and areas that have historic homes.,https://a0.muscache.com/pictures/e30d5429-7a36-4f95-9c04-115998748551.jpg,7849959,https://www.airbnb.com/users/show/7849959,Irene,2013-07-31,"Bozeman, MT","I have lived in or near Bozeman all of my life.  I purchased this home several years ago and raised my three children here and now that they are off on their own adventures, I would love to share this home with you and all this amazing area has to offer.",within an hour,100%,92%,t,https://a0.muscache.com/im/users/7849959/profile_pic/1392311847/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/7849959/profile_pic/1392311847/original.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,f,Neighborhood highlights,Bozeman,,45.67817,-111.03371,Entire rental unit,Entire home/apt,2,1.0,1 bath,1,1.0,"[""Refrigerator"", ""Hangers"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Microwave"", ""Wifi"", ""Stove"", ""TV"", ""Coffee maker"", ""BBQ grill"", ""Fire extinguisher"", ""Hair dryer"", ""Dryer"", ""Essentials"", ""Dishwasher"", ""Dishes and silverware"", ""Heating"", ""Washer"", ""Oven"", ""Iron"", ""Hot water"", ""Smoke alarm"", ""Cooking basics"", ""Air conditioning"", ""Shampoo"", ""Kitchen""]",$85.00,30,1125,30,30,1125,1125,30.0,1125.0,,t,9,39,69,344,2024-11-09,7,1,0,2019-10-26,2024-05-31,5.0,5.0,5.0,5.0,5.0,5.0,4.71,,f,2,2,0,0,0.11
135,40806022,https://www.airbnb.com/rooms/40806022,20241109184835,2024-11-09,city scrape,Cozy Apartment in Heart of Downtown!,"Enjoy this pristine clean, nostalgic 1960s basement apartment in a nice neighborhood within walking distance to midtown and downtown, bike/walking paths, numerous eateries, galleries, and shops.","This home is in the heart of Bozeman. 9 block walk to Down Town.<br /><br />Recommended hiking trails:<br />Sypes Canyon<br />The ""M"" Trail<br />Middle Cottonwood<br />Hyalite (any hikes) <br />Drinking Horse<br />Galligator Trail<br />Lava Lake<br />Pete's Hill<br />Bear Canyon<br /><br />Recommended Drinking Spots:<br />Feel free to take a growler or two to fill at one of our local craft breweries:<br /><br />The Bozeman Brewing Company. This is a great place to go after a day on the mountain or the river. The patrons are local. The owners and employees are friends. The beer is outstanding.<br /><br />Bridger Brewing is across town on campus and also one of our favorites. The pizza at Bridger Brewing is excellent.<br /><br />MAP brewing is a great place to have a beer.<br /><br />The dive bars are The Filler, The Eagles, The Crystal, and The Hauf. Each often feature live music. The Hauf has live music nightly.<br /><br />Plonk and the Open Range feature outstanding mixed drinks, wine",https://a0.muscache.com/pictures/miso/Hosting-40806022/original/5627ca01-e77c-4580-aead-358ab91efe15.jpeg,317251520,https://www.airbnb.com/users/show/317251520,Katie,2019-12-13,"Bozeman, MT",,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/User/original/8de57fee-5f29-4cb7-8fa8-98ee8633a24d.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/8de57fee-5f29-4cb7-8fa8-98ee8633a24d.jpeg?aki_policy=profile_x_medium,,9,13,"['email', 'phone']",t,t,Neighborhood highlights,Bozeman,,45.6827,-111.04561,Entire rental unit,Entire home/apt,6,1.0,1 bath,3,4.0,"[""Radiant heating"", ""Refrigerator"", ""Private entrance"", ""Portable fans"", ""Hangers"", ""Laundromat nearby"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Microwave"", ""43 inch TV with Netflix, premium cable"", ""Mountain view"", ""Clothing storage"", ""Cleaning available during stay"", ""Drying rack for clothing"", ""First aid kit"", ""Pack \u2019n play/Travel crib"", ""Coffee maker"", ""Long term stays allowed"", ""Cleaning products"", ""Extra pillows and blankets"", ""BBQ grill"", ""Fire extinguisher"", ""Keypad"", ""Hair dryer"", ""Bed linens"", ""Essentials"", ""Self check-in"", ""Freezer"", ""Dishwasher"", ""Dishes and silverware"", ""Toaster"", ""Fast wifi \u2013 478 Mbps"", ""Baking sheet"", ""Free washer \u2013 In unit"", ""Dining table"", ""Oven"", ""Iron"", ""Free dryer \u2013 In unit"", ""Indoor fireplace: electric"", ""Coffee"", ""Hot water"", ""Conditioner"", ""Free street parking"", ""LG electric stove"", ""Smoke alarm"", ""Cooking basics"", ""Shampoo"", ""Kitchen""]",$90.00,30,1125,2,30,1125,1125,17.4,1125.0,,t,0,0,0,162,2024-11-09,200,45,0,2020-03-17,2024-09-01,4.72,4.76,4.71,4.9,4.89,4.87,4.65,STR23-00101,f,5,5,0,0,3.53
157,45381974,https://www.airbnb.com/rooms/45381974,20241109184835,2024-11-09,city scrape,Cozy Home in the Heart of Downtown,This is our primary home that we make available while we are away adventuring other areas of the world.,"Recommended hiking trails:<br />Sypes Canyon<br />The ""M"" Trail<br />Middle Cottonwood<br />Hyalite (any hikes) <br />Drinking Horse<br />Galligator Trail<br />Lava Lake<br />Pete's Hill<br />Bear Canyon<br /><br />Recommended Drinking Spots:<br />Feel free to take a growler or two to fill at one of our local craft breweries:<br /><br />The Bozeman Brewing Company. This is a great place to go after a day on the mountain or the river. The patrons are local. The owners and employees are friends. The beer is outstanding.<br /><br />Bridger Brewing is across town on campus and also one of our favorites. The pizza at Bridger Brewing is excellent.<br /><br />MAP brewing is a great place to have a beer.<br /><br />The dive bars are The Filler, The Eagles, The Crystal, and The Hauf. Each often feature live music. The Hauf has live music nightly.<br /><br />Plonk and the Open Range feature outstanding mixed drinks, wine and beer imports.<br /><br />The Taproom and the Shine Beer Sanctuary have ",https://a0.muscache.com/pictures/3e3e3707-6fb7-4662-af34-d12d6a8b8e40.jpg,317251520,https://www.airbnb.com/users/show/317251520,Katie,2019-12-13,"Bozeman, MT",,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/User/original/8de57fee-5f29-4cb7-8fa8-98ee8633a24d.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/8de57fee-5f29-4cb7-8fa8-98ee8633a24d.jpeg?aki_policy=profile_x_medium,,9,13,"['email', 'phone']",t,t,Neighborhood highlights,Bozeman,,45.68285,-111.04523,Entire home,Entire home/apt,5,1.0,1 bath,3,3.0,"[""Refrigerator"", ""Private entrance"", ""Hangers"", ""Children\u2019s books and toys"", ""Free parking on premises"", ""Microwave"", ""Blender"", ""Mountain view"", ""Cleaning available during stay"", ""Samsung stainless steel gas stove"", ""Fast wifi \u2013 327 Mbps"", ""Coffee maker"", ""Long term stays allowed"", ""Cleaning products"", ""Kirkland conditioner"", ""Extra pillows and blankets"", ""BBQ grill"", ""Barbecue utensils"", ""Hair dryer"", ""Bed linens"", ""Hot water kettle"", ""Kirkland shampoo"", ""Bathtub"", ""Essentials"", ""Portable air conditioning"", ""Self check-in"", ""Freezer"", ""Babysitter recommendations"", ""Dishwasher"", ""Dishes and silverware"", ""Toaster"", ""Clothing storage: closet"", ""Heating"", ""Baking sheet"", ""Free washer \u2013 In unit"", ""Board games"", ""Dining table"", ""Iron"", ""Stainless steel single oven"", ""Free dryer \u2013 In unit"", ""Coffee"", ""Hot water"", ""Smoke alarm"", ""Cooking basics"", ""Keypad"", ""Kitchen"", ""Room-darkening shades""]",$97.00,2,1125,2,28,1125,1125,23.7,1125.0,,t,16,39,46,46,2024-11-09,93,45,2,2020-12-18,2024-10-24,4.71,4.76,4.74,4.98,4.94,4.89,4.72,STR23-00016,f,5,5,0,0,1.96
169,47871817,https://www.airbnb.com/rooms/47871817,20241109184835,2024-11-09,city scrape,Cozy Studio in the Heart of Downtown,"This cozy space is a perfect eat, sleep, play location in the heart of Bozeman. Walkable to downtown with breweries, eateries, music and shops just a few blocks from the front door!","Recommended hiking trails:<br />Sypes Canyon<br />The ""M"" Trail<br />Middle Cottonwood<br />Hyalite (any hikes) <br />Drinking Horse<br />Galligator Trail<br />Lava Lake<br />Pete's Hill<br />Bear Canyon<br /><br />Recommended Drinking Spots:<br />Feel free to take a growler or two to fill at one of our local craft breweries:<br /><br />The Bozeman Brewing Company. This is a great place to go after a day on the mountain or the river. The patrons are local. The owners and employees are friends. The beer is outstanding.<br /><br />Bridger Brewing is across town on campus and also one of our favorites. The pizza at Bridger Brewing is excellent.<br /><br />MAP brewing is a great place to have a beer.<br /><br />The dive bars are The Filler, The Eagles, The Crystal, and The Hauf. Each often feature live music. The Hauf has live music nightly.<br /><br />Plonk and the Open Range feature outstanding mixed drinks, wine and beer imports.<br /><br />The Taproom and the Shine Beer Sanctuary have ",https://a0.muscache.com/pictures/f2c39772-fa48-4a7f-8dc0-f61ba9388ba3.jpg,317251520,https://www.airbnb.com/users/show/317251520,Katie,2019-12-13,"Bozeman, MT",,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/User/original/8de57fee-5f29-4cb7-8fa8-98ee8633a24d.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/8de57fee-5f29-4cb7-8fa8-98ee8633a24d.jpeg?aki_policy=profile_x_medium,,9,13,"['email', 'phone']",t,t,Neighborhood highlights,Bozeman,,45.68282,-111.04558,Entire rental unit,Entire home/apt,2,1.0,1 bath,0,1.0,"[""Radiant heating"", ""Refrigerator"", ""Private entrance"", ""Portable fans"", ""Hangers"", ""Laundromat nearby"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Microwave"", ""43 inch TV with Netflix, premium cable"", ""Mountain view"", ""Fast wifi \u2013 428 Mbps"", ""Cleaning available during stay"", ""Drying rack for clothing"", ""Long term stays allowed"", ""Cleaning products"", ""BBQ grill"", ""Other stainless steel electric stove"", ""Hair dryer"", ""Bed linens"", ""Essentials"", ""Self check-in"", ""Freezer"", ""Private backyard \u2013 Not fully fenced"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Clothing storage: closet"", ""Kirkland Brand conditioner"", ""Dining table"", ""Iron"", ""Mini fridge"", ""Coffee"", ""Hot water"", ""Ceiling fan"", ""Kirkland Brand shampoo"", ""Free street parking"", ""Smoke alarm"", ""Cooking basics"", ""Keypad"", ""Kitchen"", ""Room-darkening shades""]",$80.00,2,1125,2,2,1125,1125,2.0,1125.0,,t,22,45,45,45,2024-11-09,279,77,5,2021-03-28,2024-11-01,4.81,4.82,4.9,4.93,4.94,4.81,4.71,STR23-00135,f,5,5,0,0,6.33
228,52164011,https://www.airbnb.com/rooms/52164011,20241109184835,2024-11-09,city scrape,Spacious King Suite Studio in Heart of Bozeman,"Kick back and relax after a day of exploration in this calm, spacious studio. enjoy some grub and beer in the neighboring parking lot of Outlaw Brewing.",,https://a0.muscache.com/pictures/miso/Hosting-52164011/original/ca872b44-cf00-4848-ac1b-7d04027ae6b4.jpeg,317251520,https://www.airbnb.com/users/show/317251520,Katie,2019-12-13,"Bozeman, MT",,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/User/original/8de57fee-5f29-4cb7-8fa8-98ee8633a24d.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/8de57fee-5f29-4cb7-8fa8-98ee8633a24d.jpeg?aki_policy=profile_x_medium,,9,13,"['email', 'phone']",t,t,,Bozeman,,45.70839,-111.07288,Entire condo,Entire home/apt,2,1.0,1 bath,1,0.0,"[""Refrigerator"", ""Private entrance"", ""Free parking on premises"", ""Microwave"", ""Wifi"", ""Mountain view"", ""Clothing storage"", ""Cleaning available during stay"", ""Coffee maker"", ""Long term stays allowed"", ""Cleaning products"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Keypad"", ""Hair dryer"", ""Bed linens"", ""Essentials"", ""43 inch TV with Netflix"", ""Portable air conditioning"", ""Self check-in"", ""Dishes and silverware"", ""Toaster"", ""Heating"", ""Dining table"", ""Mini fridge"", ""Coffee"", ""Conditioner"", ""Free street parking"", ""Smoke alarm"", ""Cooking basics"", ""Shampoo"", ""Room-darkening shades""]",$69.00,27,365,27,27,1125,1125,27.0,1125.0,,t,30,60,90,112,2024-11-09,180,1,0,2021-09-11,2023-12-20,4.82,4.88,4.94,4.91,4.93,4.8,4.71,,f,5,5,0,0,4.67
297,620357586433612824,https://www.airbnb.com/rooms/620357586433612824,20241109184835,2024-11-09,city scrape,Play in the mountains & stay downtown!,"Welcome to our humble downtown guesthouse! Our cozy updated downstairs suite is two blocks off Main Street and has a walkability score of 95% to explore town. Our community Food Co-op is 2 blocks away, the Elm music venue is 5 blocks and the heart of downtown is less than 10 blocks away with local breweries, food trucks, restaurants and shopping. This 2 bedroom apartment is great for a couple or small family who want to explore the mountains and Bozeman.","Mid-town North is right in the heart of Bozeman, just off Main Street. We have 5 ice cream shops within 5 blocks and 3 grocery options within 8 blocks. Our neighborhood is quiet with lots of families who live & work in town.",https://a0.muscache.com/pictures/02e64244-7369-447c-bc60-b6a5d2fbce05.jpg,40742998,https://www.airbnb.com/users/show/40742998,Katie,2015-08-06,"Bozeman, MT",,,,100%,f,https://a0.muscache.com/im/users/40742998/profile_pic/1438917340/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/40742998/profile_pic/1438917340/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Bozeman,,45.68145,-111.04979,Entire condo,Entire home/apt,3,1.0,1 bath,1,1.0,"[""Children\u2019s dinnerware"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Private entrance"", ""Portable fans"", ""Hangers"", ""Laundromat nearby"", ""Carbon monoxide alarm"", ""Children\u2019s books and toys"", ""Outdoor dining area"", ""Microwave"", ""Books and reading material"", ""Rice maker"", ""Wifi"", ""Blender"", ""Clothing storage"", ""Cleaning available during stay"", ""Stove"", ""Body soap"", ""Pack \u2019n play/Travel crib"", ""TV"", ""Pets allowed"", ""Coffee maker"", ""Long term stays allowed"", ""Cleaning products"", ""Extra pillows and blankets"", ""BBQ grill"", ""Fire extinguisher"", ""Barbecue utensils"", ""Hair dryer"", ""Bed linens"", ""Hot water kettle"", ""Essentials"", ""Freezer"", ""Shower gel"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Heating"", ""Baking sheet"", ""Wine glasses"", ""Sound system"", ""Dining table"", ""Oven"", ""Bikes"", ""Crib"", ""Coffee"", ""Hot water"", ""Conditioner"", ""Free street parking"", ""Smoke alarm"", ""Cooking basics"", ""Shampoo"", ""Kitchen""]",$160.00,30,365,30,30,1125,1125,30.0,1125.0,,t,23,53,83,173,2024-11-09,51,1,0,2022-06-09,2024-07-30,4.8,4.73,4.88,4.92,4.88,4.86,4.65,,f,1,1,0,0,1.73
